@relation sms

@attribute verdict {PositiveSpam, NegativeSpam}
@attribute content string

@data
NegativeSpam, 'Weh, gimana jadinya kemarin? Dia bilang sesuatu ga tentang gw? Ceritain yang lengkap ya wkwkwk'
PositiveSpam, 'Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#'
NegativeSpam, 'Lu ga tau ja kemarin gw rasanya gimana di sana. Capek bgt sumpah, mana ga ada tmpt duduk lg.'
NegativeSpam, 'Oke..? Terus sekarang kamu lagi ngapain?'
PositiveSpam, 'Dijual online kacamata tembus pandang produk x-ray England, yg dpt menembus kain, kertas, plastik, tripleks, dll. Hub 081528548787 pin BB 2AD1A475'
PositiveSpam, 'Jual XL cantik. 0819 1000 1125 Rp. 380rb. minat serius kartu dikirim duluan. Bayar setelah barang sampai. Hubungi BENK PERDANA telp 081234566791'
NegativeSpam, 'Wow, aku malah baru tau kalo di sana kaya gitu kondisinya. Tapi kamu gpp kan?'
PositiveSpam, 'JUAL MUKENA BALI (kain adem, motif cantik kembang2) Rp 200rb, ORDER SMS KETIK MUKENA.BALI + nama + alamat (trm brg dulu baru transfer)'
PositiveSpam, 'Share for two~ Buy 1 Get 1 Free All Variant. Tukarkan segera SMS ini di outlet SHARETEA berlaku sampai 9 Mei 2017. S&K Berlaku. Promo *606#'
NegativeSpam, 'Barusan udah kelar ni kelasnya, lw di mana?'
PositiveSpam, 'jika anda beli ke kami pasti aman krn trm brg dulu, cek baru transfer, silahkan sms brg yg dibutuhkan (alay usir tikus, mukena, obat oles hj, jamu strongx dll)'
PositiveSpam, 'Bisa kenalan, curhatan trus janjian juga boleh di ajak kencan INVITE Pin BB aku 265B580D No Hp 082187957389 ditunggu ya telponnnya'
PositiveSpam, 'Pasang bola skrg gampang, kapanpun dan dimana saja! Pasaran paling bersaing dgn bonus member baru hingga 1JT. Daftar disini: www.sepakb0lacc5.com'
NegativeSpam, 'Udah liat yang ini belum? www.9gag.com/gag/ajXbb6G sumpah ngakak abis wkwk'
PositiveSpam, 'Tokopedia - Dapatkan potongan hingga Rp 15rb tiap bayar berbagai tagihan di Tokopedia. Kode: MULAIONTIME. Periode 17-30 Apr. S&K berlaku. Cek di sini: tkp.me/09y'
PositiveSpam, 'STRONGX JAMU KUAT PRIA (berijin depkes) benar2 terbukti membuat Pria perkasa Rp 250rb free o. krm (isi 10 kapsul) ORDER SMS STRONGX + NAMA + ALAMAT (byr belakang)'
NegativeSpam, 'Heii selamat ulang tahun ya, semoga tambah berbakti sama orang tua, tambah pinter, dan tambah sering traktiran temen juga ya hehehe'
NegativeSpam, 'Sori, ini lagi ketemuan sama klien, nanti aku hubungi lagi ya'
NegativeSpam, 'Seriusan? Yaudah sih kalo kamu maunya gitu gpp, cukup tau ja.'
PositiveSpam, 'Surat Keputusan PT. Telkomsel No. XV-02/2017. Menyatakan No Anda Pemenang Ke-3, Undian TELKOMSEL Poin. Pin 277FG49. U/ info klik di: www.tselpoin.com'
PositiveSpam, 'SANGAT STRATEGIS dijual tnh pekarangan SHM 2170 m2 lebar muka 18m. Pinggir jl raya Tajem, Maguwoharjo Jogja. Dekat kampus, bandara, jogja bay & mal Hub. 08156988379'
PositiveSpam, 'PT. FREEPORT INDONESIA Membuka Lowongan Kerja 2017 dengan berbagai Jurusan L/P. Info lengkap kunjungi: http://www.recruitment-ptfi2017.com'
PositiveSpam, 'Raih kesempatan memenangkan Regular & Mega Jackpot ratusan juta. Dan dapatkan bonus cashback + komisi referral 10%, min DP 10rb. Hanya di www.afapoker8.net'
NegativeSpam, 'Oke, ini udah otw balik.'
NegativeSpam, 'Nanti aku telpon lagi, sinyalnya baru jelek ni, ga kedengeran apa-apa tadi.'
PositiveSpam, 'Beli Cocoa Orange Crush Ice Blended, Get Free Green Tea Ice Blended. Tukarkan SMS ini di The Coffee Bean (Tdk berlaku di outlet bandara). S&K Berlaku. Promo *606#'
NegativeSpam, 'Thanks ya udah ngucapin hbd ke aku, kalo ketemuan nanti ingetin aku buat nraktir ya wkwkwk'
PositiveSpam, 'THE BEST SILKY DESSERTS IS NOW IN BANDUNG! GRATIS 1 PUYO setiap pembelian 2 Silkiy Desserts! Tunjukkan SMS ini di Puyo Ciwalk, Lt. 1 hari ini! Promo *606#'
PositiveSpam, 'Uangkan BPKB Mobil / Truk Anda Cair Cepat + BPKB dijamin Aman Finance Resmi Hub: Eka 082114771193'
PositiveSpam, 'massage Gigitas berfungsi untuk membakar lemak, terapi stroke, pijat capek .. hanya 300rb KETIK MD + NAMA + ALAMAT (trm brg dulu baru bayar) 0823401889988'
NegativeSpam, 'Formal amat bahasa sms lw, wkwkwk. Gw baru makan di luar nih, mau nyusul ga? Taulah di tempat biasa.'
PositiveSpam, 'Selamat anda memenangkan undian Telkomsel Poin 2017! Untuk mengetahui cara mengambil hadiah anda, hubungi operator Telkomsel 081128495302'
PositiveSpam, 'Maaf hanya menawarkan kartu perdana HALO pasca bayar 10 angka 0811812125 Harga: 2 juta langsung kring a/n pembeli. Barangkali minat?'
PositiveSpam, 'Kapsul BUAH MERAH PAPUA u/ obati Asam Urat, Rematik, Diabetes, Darah tinggi, dll. Harga Rp. 200Rb (isi 60 kapsul), Trm Brg Dulu. PEMESANAN: SMS Nama & Almt ke 081331332612'
PositiveSpam, 'BUMN PERUM PERURI Membuka Lowongan Kerja 2017 Untuk Semua Jurusan L/P, Bagi yang berminat silakan kunjungi situs web resmi: www.ppm-bumnperuri.com'
NegativeSpam, 'Gausah panik lah, paling dia lagi sibuk aja makanya ga bisa dihubungin. Tunggu aja sebentar baru nanti ditelpon lagi.'
NegativeSpam, 'Ini saya posisi lagi keluar makan, nanti kalau sudah balik dan pegang berkasnya saya kabarin lagi ya'
NegativeSpam, 'Hmm.. susah juga ya, nanti deh dipikirin lagi, mau tidur dulu skrg lagi pusing'
NegativeSpam, 'Lewat wa atau line aja ya, id lineku @random_person'
NegativeSpam, 'Pak, tadi kuncinya sudah saya tinggalkan di dalam laci meja ruang bapak. Terima kasih.'
NegativeSpam, 'Tadi interviewnya gmn? Kok belum ngasih kabar? Ceritain plis, jadi kepo nih wkwkwk'
PositiveSpam, 'DISCOUNT up to 50% belanja elektronik di pameran UFO Atrium Ambarrukmo Plaza. Tukarkan sms ini dgn GRATIS voucher 400ribu. Persediaan terbatas SKB. Promo *606#'
PositiveSpam, 'Plg Yth, Aktifkan Paket Telpon Ramadhan 50 menit telp ke opr lain untk 1 bln Rp 35rb di *123*21# dan dptkan kupon undian Traktir Nasional. SKB. Info tsel.me/8Qhk'
NegativeSpam, 'Plgn Yth, total tagihan kartuHalo anda sebsar Rp. 92653, lakukan pembayran sebelm tgl 10/06/17 di BANK/POS/Grapari terdekat. Abaikan jika sdh membayar. Tks'
PositiveSpam, 'Pelanggan Yth. terima kasih anda telah melakukan pembayaran tagihan kartuHalo senilai Rp 92653 pada tanggal 2017-06-09 melalui BANK BCA'
PositiveSpam, 'Menangkan THR Telkomsel Poin Total RP 5juta saldo tcash/Samsung J5 utk penukar 50poin terbanyak, SMS Ketik: THR50 ke 777 sd 22Juni. Bonus pulsa setiap hari. SKB'
NegativeSpam, 'Good night.'
